TRADE SHARES;Date;USA;Euro;UK;China
1;01/01/1999;0,09294;0,66061;0,05561;0,01159
2;01/01/2000;0,10063;0,63301;0,05743;0,01345
3;01/01/2001;0,08575;0,65003;0,05656;0,01400
4;01/01/2002;0,09189;0,65714;0,04982;0,01537
5;01/01/2003;0,08256;0,67426;0,04482;0,01777
6;01/01/2004;0,07762;0,67175;0,04556;0,02004
7;01/01/2005;0,08062;0,66558;0,04915;0,02135
8;01/01/2006;0,08669;0,65636;0,04387;0,02218
9;01/01/2007;0,07827;0,65897;0,04650;0,02554
10;01/01/2008;0,07779;0,65153;0,04437;0,02686
11;01/01/2009;0,08005;0,64072;0,04405;0,02991
12;01/01/2010;0,07853;0,62715;0,04950;0,03503
13;01/01/2011;0,07763;0,62730;0,04154;0,03858
14;01/01/2012;0,08385;0,48418;0,07259;0,03450
15;01/01/2013;0,07607;0,41247;0,12207;0,04898
16;01/01/2014;0,09007;0,46838;0,08095;0,05399
17;01/01/2015;0,09487;0,44681;0,08438;0,06054
18;01/01/2016;0,10713;0,42834;0,08985;0,06923
19;01/01/2017;0,10269;0,45324;0,06399;0,06615
20;01/01/2018;0,10557;0,46572;0,06404;0,07626
21;01/01/2019;0,10730;0,46570;0,07577;0,06205
22;01/01/2020;0,15469;0,45059;0,05467;0,05747
23;01/01/2021;0,12401;0,45153;0,07173;0,07499
24;01/01/2022;0,13809;0,45223;0,02843;0,08664
25;01/01/2023;0,12223;0,45282;0,02768;0,08348